abase,	lower/humiliate
amity,	friendship
amnesia,	loss of memory
amnesty,	pardon
amoral,	nonmoral
amorous,	moved by sexual love/ loving
amorphous,	shapeless
amphibian,	able to live both on land and in water
amphitheater,	oval building with tiers of seats
ample,	abundant
amplify,	enlarge
amputate,	cut off part of body/ prune
amuck,	in a state of rage
amulet,	charm/ talisman
anachronism,	an error involving time in a story
analgesic,	causing insensitivity to pain
analogous,	comparable
analogy,	similarity/ parallelism
anarchist,	person who rebels against the established order
anarchy,	absence of governing body/ state of disorder
anathema,	solemn curse
anchor,	secure or fasten firmly
ancillary,	serving as an aid or accessory/ auxiliary
anecdote,	short discount of an amusing or interesting event
anemia,	condition in which blood lacks red corpuscles
anesthetic,	substance that removes sensation with or without loss of consciousness
anguish,	acute pain/ extreme suffering
angular,	sharp-cornered/ stuff in manner
animated,	lively
animosity,	active enmity/ hatred
animus,	hostile feeling or intent
annals,	records/ history
annihilate,	destroy
annotate,	comment/ make explanatory notes
annuity,	yearly allowance
annul,	make void
anomalous,	abnormal/ irregular
anomaly,	irregularity
anonymity,	state of being nameless/ anonimousness
anonymous,	having no name
antagonistic,	hostile/ opposed/ actively resisting
antecede,	precede
antecedents,	preceding events or circumstances that influence what comes later/ early life/ ancestors
antediluvian,	antiquated/ ancient
anthropoid,	manlike
anthropologist,	a student of the history and science of mankind
anthropomorphic,	having human form or characteristics
anticlimax,	letdown of thought or emotion
antipathy,	aversion/ dislike
antiquated,	old-fashioned/ obsolete
antiseptic,	substance that prevents infection
antithesis,	contrast/ direct opposite of or to
apathy,	lack of caring/ indifference
ape,	intimate or mimic
aperture,	opening/ hole
apex,	tip/ summit/ climax
aphasia,	loss of speech due to injury or illness
aphorism,	pithy maxim
apiary,	a place where bees are kept
aplomb,	poise
apocalyptic,	prophetic/ pertaining to revelations
apocryphal,	untrue/ made up
apogee,	highest point
apoplexy,	stroke/ loss of consciousness followed by paralysis
apostate,	one who abandons his religious faith or political beliefs
apothegm,	pithy/ compact saying
apotheosis,	deification/ glorification
appall,	dismay/ shock
apparition,	ghost/ phantom
appease,	pacify/ soothe
appellation,	name/ title
append,	attach
application,	diligent attention
apposite,	appropriate/ fitting
appraise,	estimate value of
appreciate,	be thankful for/ increase in worth/ be thoroughly conscious for
apprehend,	arrest(a criminal)/ dread/ perceive
apprehension,	fear
apprise,	inform
approbation,	approval
appropriate,	acquire/ take position of for one's own use
apropos,	with reference to/ regarding
aptitude,	fitness/ talent
aquiline,	curved/ hooked
arable,	fit for plowing
arbiter,	a person with power to decide a dispute/ judge
arbitrary,	unreasonable or capricious/ imperious/ tyrannical/ despotic
arbitrate,	act as judge
arboretum,	place where different tree varieties are exhibited
arcade,	a covered passageway/ usually lined with shops
arcane,	secret/ mysterious
archaeology,	study of artifacts and relics of early mankind
archaic,	antiquated
archetype,	prototype/ primitive pattern
archipelago,	group of closely located islands
archives,	public records/ place where public records are kept
ardor,	heat/ passion/ zeal
arduous,	hard/ strenuous
argot,	slang
aria,	operatic solo
arid,	dry/ barren
aristocracy,	hereditary nobility/ privileged class
armada,	fleet of warships
aromatic,	fragrant
arraign,	charge in court/ indict
array,	marshal/ draw up in order
array,	clothe/ adorn
arrears,	being in debt
arrogance,	pride/ haughtiness
arroyo,	gully
articulate,	effective/ distinct
artifacts,	products of primitive culture
artifice,	deception/ trickery
artisan,	a manually skilled worker
artless,	without guile/ open and honest
ascendancy,	controlling influence/ domination
ascertain,	find out for certain
ascetic,	practicing self-denial/ austere
ascribe,	refer/ attribute/ assign
aseptic,	preventing infection/ having a cleansing effect
ashen,	ash-colored
asinine,	stupid
askance,	with a sideways or indirect look
askew,	crookedly/ slanted/ at an angle
asperity,	sharpness(of temper)
aspersion,	slanderous remark
aspirant,	seeker after position or status
aspiration,	noble ambition
assail,	assault
assay,	analyze/ evaluate
assent,	agree/ accept
assessment,	estimation
assiduous,	diligent
assimilate,	absorb/ cause to become homogeneous
assuage,	ease/ lessen (pain)
asteroid,	small planet
astigmatism,	eye defect that prevents proper focus
astral,	relating to stars
astringent,	binding/ causing contraction
astronomical,	enormously large or extensive
astute,	wise/ shrewd
asunder,	into parts/ apart
asylum,	place of refuge or shelter/ protection
asymmetric,	not identical on both sides of a dividing central line
atavism,	resemblance to remote ancestors rather than to parents/ deformity returning after passage of two or more generations
atheistic,	denying the existence of God
atone,	make amends for/ pay for
atrocity,	brutal deed
atrophy,	wasting away
attentive,	considerate/ thoughtful
attenuate,	make thin/ weaken
attest,	testify/ bear witness
attribute,	essential quality
attribute,	ascribe/ explain
attrition,	gradual wearing down
atypical,	not normal
audacious,	daring/ bold
audit,	examination of accounts
augment,	increase
augury,	omen/ prophecy
august,	impressive/ majestic
aureole,	sun's corona/ halo
auroral,	pertaining to the aurora borealis
auspicious,	favoring success
austere,	strict/ stern
austerity,	sternness/ severity/ lack of luxuries
authenticate,	prove genuine
authoritarian,	favoring or exercising total control/ non-democratic 
authoritative,	having the weight of authority/ dictatorial
autocrat,	monarch with supreme power
automaton,	mechanism that imitates actions of humans
autonomous,	self-governing
autopsy,	examination of a dead body/ post-mortem
auxiliary,	helper/ additional or subsidiary
avarice,	greediness for wealth
aver,	state confidently
averse,	reluctant
aversion,	firm dislike
avert,	prevent/ turn away
aviary,	enclosure for birds
avid,	greedy/ eager for
avocation,	secondary or minor occupation
avow,	declare openly
avuncular,	like an uncle
awe,	solemn wonder
awry,	distorted/ crooked
axiom,	self-evident truth requiring no proof
azure,	sky blue
