[HEADER]
Category=TOEFL
Description=Word List
PrimaryField=1
SecondaryField=2
GroupField=3
[DATA]
word	definition	part of speech
extinct	no longer active; having died out	adjective
extol	to praise highly	verb
extravagance	excess spending	noun
exultant	very happy; full of joy	adjective
facile	easy	adjective
falter	to move hesitatingly; unsteadily	verb
famine	starvation	noun
fascinate	to attract powerfully; to charm	verb
feat	an act requiring great strength or courage	noun
feeble	lacking strength, power	adjective
ferry	to cross a river or a narrow body of water	verb
feud	to engage in a long, bitter hostility	verb
flatter	to praise too much	verb
flee	to escape swiftly	verb
flicker	to shine unsteadily	verb
flimsy	lacking solidarity, strength	adjective
flip	to overturn	verb
flounder	to move awkwardly	verb
fluffy	soft; airy	adjective
foolish	silly	adjective
forbearance	self-restraint	noun
ford	a shallow place in a river which can be crossed by walking or driving	noun
foresee	to anticipate	verb
fowl	a bird which can be eaten	noun
fraction	a part of something	noun
fracture	a break	noun
fraud	a fault; a deception	noun
fret	to worry	verb
frigid	very cold	adjective
furtive	secret	adjective
futile	useless	adjective
garb	clothing	noun
garrison	a fortified place occupied by soldiers	noun
garrulous	talkative	adjective
gash	a deep cut	noun
gauche	impolite; clumsy	adjective
gem	a precious stone; a jewel	noun
genial	kindly; friendly	adjective
genuine	true	adjective
germinate	to begin to grow	verb
gist	the main idea	noun
glamorous	fascinating; alluring	adjective
glib	spoken easily but with little thought; fluent	adjective
glitter	to shine with a sparkling light	verb
glossary	an explanation of special words at the end of the book	noun
glow	to shine	verb
goal	an objective; an aim	noun
greedy	excessively desirous of acquiring possessions; avaricious	adjective
grievance	a complaint	noun
grope	to search blindly, uncertainly	verb
grouchy	irritable	adjective
grudge	hard feelings; resentment	noun
grumble	to complain	verb
gust	a sudden, brief rush of wind	noun
hamlet	a small village	noun
handy	easily reached	adjective
haphazard	without a fixed or regular course; indifferent; disorganized	adjective
harsh	cruel	adjective
hasty	done too quickly to be accurate or wise	adjective
hazy	not clear; vague	adjective
heavy	a great amount	adjective
heretic	very busy; active	adjective
heed	to pay attention to	verb
henceforth	from now on	adverb
hilarious	very funny; merry; laughable	adjective
hinge	a joint on which a door or gate is attached	noun
hint	a suggestion; a clue	noun
hoarse	a rough, husky sound, especially a rough voice	adjective
hoax	a trick	noun
hoe	a garden tool with a long handle and a flat blade used for digging	noun
holocaust	widespread destruction, usually by fire	noun
homage	allegiance; respect	noun
hubbub	noise; confusion	noun
humid	damp; hot	adjective
hypothesis	a tentative theory	noun
identical	exactly the same	adjective
ignorant	without knowledge; unaware; uninformed	adjective
ignore	to refuse to notice or recognize; to discard	verb
imminent	about to occur; impending	adjective
impartial	not favoring one more than the other; just	adjective
impartible	indivisible	adjective
imply	to suggest	verb
impromptu	without preparation; unrehearsed; extempore	adjective
incessant	without interruption; continuous	adjective
incidental	of lesser importance; secondary	adjective
incisive	crisp; trenchant	adjective
incredible	hard to believe	adjective
indictment	an accusation	noun
induce	to lead or move by influence or persuasion	verb
inert	lacking independent power to move; not active	adjective
infested	inhabited in large numbers by something harmful	adjective
ingredients	parts of a mixture, especially a recipe 	noun
inhabit	to live in a place	verb
initiate	to start; to begin	verb
innovation	a change	noun
inquisitive	asking many questions; curious	adjective
inseparable	not able to be separated	adjective
inspect	to examine closely	verb
integrate	to coordinate; to unite	verb
intersect	to meet	verb
interval	the time between two events	noun
intrepid	fearless	adjective
intricate	complicated	adjective
intrude	to be in the way; to be an obstacle	verb
invalid	a sick person	noun
invariable	always the same	adjective
irritate	to excite to anger; to bother	verb
jeopardy	danger	noun
jerk	a sudden movement	noun
jungle	land covered with a growth of trees and vegetation	noun
keen	eager	adjective
lament	to express sorrow	verb
lanky	tall and slim	adjective
laud	to praise	verb
leisure	free; unoccupied	adjective
lid	a cover	noun
lift	to raise	verb
light	having little substance; not heavy	adjective
limb	a large branch of a tree	noun
limp	to favor one leg; to cripple	verb
limpid	lucid	adjective
litter	to strew with scattered articles	verb
lively	fill of energy; agile	adjective
loafer	an idle, lazy person	noun
loathe	to hate; to detest	verb
loot	stolen goods; plunder	noun
lullaby	a song to lull a baby to sleep	noun
luminous	bright	adjective
lustrous	bright; shining	adjective
malign	to slander	verb
mansion	a large, imposing house; a residence	noun
mare	a female horse	noun
margin	the blank space bordering the written or printed area of a page	noun
marshal	a law officer	noun
massive	huge; heavy	adjective
meddle	to interfere; to intrude	verb
menace	to threaten	verb
mend	to repair	verb
merger	a legal combination of two or more businesses	noun
meteor	a celestial body smaller than one mile in diameter	noun
meticulous	to be careful about detail	adjective
mingle	to mix; to combine	verb
modify	to change something a little	verb
molest	to annoy; to bother	verb
monstrous	horrible; shocking	adjective
moron	a foolish, silly person	noun
morsel	a small amount of food	noun
mumble	to speak indistinctly	verb
munch	to chew	verb
mutual	having the same relationship one to the other; shared	adjective
nadir	the lowest point	noun
nasty	mean	adjective
negligent	extremely careless	adjective
numb	without sensation; paralyzed	adjective
oasis	fertile place with water located in the desert	noun
oblivion	the condition of being completely forgotten	noun
obvious	forgetful; unaware	adjective
obscure	not easily seen	adjective
obsequious	obedient; servile	adjective
obsolete	no longer useful; outdated	adjective
obstinate	stubborn; unyielding	adjective
obstruct	to get in the way; to block	verb
ominous	threatening	adjective
omit	to leave out	verb
oration	a formal speech	noun
orchard	a group of nut or fruit trees	noun
ordeal	difficult or painful experience	noun
output	production; yield	noun
outrageous	very offensive; shocking	adjective
overall	general; comprehensive	adjective
pact	a treaty; an agreement	noun
palatable	savory	adjective
pauper	a very poor person	noun
peek	to take a brief look	verb
penetrate	to pass through; to enter	verb
pensive	thoughtful	adjective
perforated	small lines or holes in something	adjective
perilous	full of danger	adjective
permanently	constantly	adverb
permissible	allowed	adjective
perpetual	continuing forever; constant	adjective
persuade	to convince	verb
pessimist	one who always takes a gloomy view of things	noun
petition	a formal request	noun
phlegmatic	sluggish; apathetic	adjective
pilfer	to steal	verb
pillar	a column	noun
pinch	to press between one's fingers or another object	verb
pity	compassion	noun
placate	to appease	verb
plateau	a broad pain	noun
plausible	believable, but doubtful	adjective
plea	an appeal	noun
plump	a full, round shape	adjective
pollute	to contaminate; to dirty	verb
ponder	to consider carefully	verb
posterity	future generations	noun
postpone	to delay	verb
prank	a trick; a joke	noun
precaution	action taken to avoid future accident or problem	noun
precede	to go before	verb
precept	a rule; a command	noun
precisely	exactly	adverb
predict	to tell what will happen in the future; to foretell	verb
prelude	a preliminary event preceding a more important one	noun
prestigious	admired	adjective
prevail	to continue in use or fashion; to succeed	verb
prevalent	widespread	adjective
primary	most important; final	adjective
prior	before in time, order or importance	adverb
probe	a thorough examination	noun
profound	deep	adjective
prolific	productive	adjective
promulgate	to make known; to declare officially	verb
prop	a support	noun
proprietor	one who owns a shop	noun
prosper	to succeed; to thrive	verb
protrude	to punish outward; to project	verb
provoke	to cause; to incite	verb
proximity	nearness	noun
prudent	careful; wise; complete	adjective
purify	to cleanse	verb
quell	to make quiet; to subdue	verb
quest	a search	noun
ramble	to wander idly, without purpose	verb
rancor	spiteful hatred	noun
random	chance	adjective
rash	with little care	adjective
ratify	to approve; to confirm	verb
raze	to destroy	verb
rebut	to contradict	verb
recite	to repeat from memory	verb
reckless	not cautious; not careful	adjective
recluse	a person who chooses to live apart from society	noun
recollection	a memory	noun
reconcile	to settle on friendly terms	verb
refined	noble; attractive	adjective
rehearse	to practice	verb
reiterate	to say again; to repeat	verb
relapse	the return of an illness	noun
reliable	dependable	adjective
reluctant	unwilling; hesitant	adjective
remnant	something left over	noun
renowned	famous	adjective
repel	to drive back	verb
reproach	to blame	verb
resemble	to have a similar appearance	verb
reside	to live in a certain place	verb
resolute	firm; determined	adjective
respond	to answer	verb
restrain	to check; to limit	verb
retain	to keep in one's possession; to hold	verb
retard	to delay; to hold back	verb
retort	a quick, sharp reply	noun
revenue	money earned; income	noun
reverse	to go in the opposite direction; to turn around	verb
risky	dangerous	adjective
rivalry	a contest; a competition	noun
roam	to wander	verb
role	a character played by an actor in a drama	noun
rotate	to circle	verb
roughly	approximately	adverb
routine	the usual way of doing things	noun
rustic	typical of country life; simple	adjective
rusty	oxidized	adjective
sagacity	good judgment; keenness; wisdom	noun
scandal	a rumor as a result of disgraceful actions	noun
scant	meager	adjective
scatter	to throw about	verb
schedule	to make a timetable of arrivals and departures; to list	verb
scoop	to dip into a spoon or a cupped hand	verb
scope	the range or extent of something	noun
scornful	disdainful; aloof	adjective
scrape	to abrade	verb
scrub	to wash vigorously by scrubbing	verb
scrutiny	close, careful examination	noun
segment	a division; a part of something	noun
seize	to grab	verb
sentry	a guard	noun
sever	to cut into two parts	verb
shabby	worn-out; faded	adjective
shatter	to break into many pieces	verb
shawl	a covering for a woman's head and shoulders	noun
shift	to change a position or direction	verb
shrewd	able in particular affairs; clever	adjective
shrug	to raise the shoulders in a gesture of doubt or indifference	verb
shutter	a hinged cover attached to a window to keep out light and rain	noun
simulate	to imitate; to copy	verb
simultaneously	at the same time	adverb
sinuous	winding; curving	adjective
sip	to drink a little at a time	verb
skeptical	not easily convinced; doubting	adjective
skim	to read quickly and superficially	verb
slap	to hit with an open hand	verb
slay	to kill	verb
sleazy	sheer; gauzy; cheap	adjective
sleet	a mixture of snow, hail and rain	noun
slit	to cut	verb
sluggish	not easily aroused by activity; slow to respond	adjective
smolder	to burn with little smoke and no flame	verb
snatch	to grab abruptly and hastily	verb
sneak	to move quietly, secretly	verb
soar	to fly high	verb
soothe	to calm	verb
sorrowful	sorry for a sin or mistake	adjective
span	to extend from one side to another	verb
species	a group with a common appearance	noun
specific	defined	adjective
speck	a very small spot or piece of something	noun
spill	to allow a liquid to run out of the container	verb
sporadic	happening from time to time	adjective
sprawl	to stretch out	verb
squash	to flatten; to crush	verb
stack	to put several things on top of each other	verb
stale	not fresh; old	adjective
static	not moving	adjective
storm	a natural disturbance of wind	noun
straddle	to sit with one leg on one side and the other leg on the other side of something	verb
strain	tension; stress	noun
strive	to make great efforts; to struggle	verb
stunt	to retard normal growth	verb
subsequent	following	adjective
substitute	to use something in place of another; to replace	verb
sue	to bring to court	verb
sultry	hot, moist weather	adjective
supersede	to replace	verb
surfeit	to eat an excessive amount	verb
surly	rude; arrogant	adjective
surmise	to guess	verb
swarm	a large number of moving insects	noun
swerve	to turn aside; to veer	verb
synchronize	to cause to coincide	verb
synopsis	an outline	noun
taciturn	unspoken; silent	adjective
tack	to fasten with a small nail	verb
tact	diplomacy	noun
tally	an account; a score	noun
tamper	to interfere in a harmful manner; to meddle	verb
tapered	smaller at one end	adjective
tentative	uncertain; probable	adjective
tepid	slightly warm	adjective
terminate	to bring to an end.	verb
testify	to give evidence	verb
thicken	to coagulate	verb
thrifty	careful; frugal	adjective
throng	a crowd	noun
thump	the dull sound of a blow made by a heavy object	noun
tilted	not straight	adjective
tiptoe	to walk stealthily; quietly	verb
tolerant	inclined to tolerate others; having a fair attitude toward those who hold different views	adjective
torture	to inflict extreme pain on someone	verb
touchy	sensitive; irritable	adjective
tranquil	peaceful; quiet	adjective
transact	to conduct, perform or carry out business	verb
transcend	to raise above; to surpass	verb
transform	to change in appearance	verb
traverse	to move along	verb
treacherous	not to be trusted; perfidious	adjective
trend	a course; a tendency	noun
tributary	a river that flows into a larger one	noun
trivial	of a little importance	adjective
troupe	a group of singers or actors	noun
tug	to pull something with effort	verb
tumble	to fall in a rolling manner	verb
tumult	noisy commotion	noun
tutor	to teach	verb
twofold	a double amount	noun
tyro	a beginner	noun
ultimate	final	adjective
unanimous	in a full accord; by common consent	adjective
uncouth	rude in one's behavior	adjective
undercut	to sell at a lesser price than a competitor	verb
unsophisticated	naïve	adjective
vacant	empty	adjective
vagabond	one who moves from place to place without a fixed abode; a wandered	noun
vanish	to disappear	verb
vanity	a foolish pride	noun
variation	a different form of something; a change	noun
variety	a collection of many different things	noun
vehemence	forcefulness; intensity; conviction	noun
vendor	one who sells something	noun
verify	to make certain of the truth; to confirm	verb
versatile	having varied uses; flexible	adjective
vestige	a small, remaining sign; a trace	noun
vibrate	to move back and forth rapidly	verb
vicarious	a feeling of identification with another; a substitute	adjective
vigilance	watchfulness	noun
vulnerable	weak	adjective
warily	cautiously	adverb
warrant	a written authorization	noun
waxy	pliable	adjective
wayward	nonconforming; irregular	adjective
wile	a trick	noun
wither	to lose freshness; to dry up; to fade	verb
wrath	a great anger	noun
wrinkle	a crease	noun
yelp	to cry out sharply, usually in reference to dogs	verb
zealot	an eager, enthusiastic person; a fanatic	noun
